,token 0,token 1,token 2,token 3,token 4,token 5,token 6,token 7
0,היא,הגוף,המטפל,בכל,הפניות,הנוגעות,לטיפול,הרפואי
1,,,,,,,,
,lemma 0,lemma 1,lemma 2,lemma 3,lemma 4,lemma 5,lemma 6,lemma 7,lemma 8,lemma 9,lemma 10,lemma 11,lemma 12,lemma 13,lemma 14,lemma 15
0,הוא,ה,גוף,ה,טיפל,ב,כול,ה,פנייה,ה,נגע,ל,ה,טיפול,ה,רפואי
1,,,,,,,,,,,,,,,,
,segment 0,segment 1,segment 2,segment 3,segment 4,segment 5,segment 6,segment 7,segment 8,segment 9,segment 10,segment 11,segment 12,segment 13,segment 14,segment 15
0,היא,ה,גוף,ה,מטפל,ב,כל,ה,פניות,ה,נוגעות,ל,ה,טיפול,ה,רפואי
1,,,,,,,,,,,,,,,,
,num,word,lemma,pos,pos_2,empty,dependency_arc,dependency_part,dependency_arc_2,dependency_part_2
0,1,היא,הוא,PRP,PRP,gen=F|num=S|per=3,3,subj,_,_
1,2,ה,ה,DEF,DEF,,3,def,_,_
2,3,גוף,גוף,NN,NN,gen=M|num=S,0,ROOT,_,_
3,4,ה,ה,REL,REL,,3,rcmod,_,_
4,5,מטפל,טיפל,BN,BN,gen=M|num=S|per=A,4,relcomp,_,_
5,6,ב,ב,PREPOSITION,PREPOSITION,,5,comp,_,_
6,7,כל,כול,DTT,DTT,,9,det,_,_
7,8,ה,ה,DEF,DEF,,9,def,_,_
8,9,פניות,פנייה,NN,NN,gen=F|num=P,6,pobj,_,_
9,10,ה,ה,REL,REL,,9,rcmod,_,_
10,11,נוגעות,נגע,BN,BN,gen=F|num=P|per=A,10,relcomp,_,_
11,12,ל,ל,PREPOSITION,PREPOSITION,,11,comp,_,_
12,13,ה,ה,DEF,DEF,,14,def,_,_
13,14,טיפול,טיפול,NN,NN,gen=M|num=S,12,pobj,_,_
14,15,ה,ה,DEF,DEF,,16,def,_,_
15,16,רפואי,רפואי,JJ,JJ,gen=M|num=S,14,amod,_,_
16,,,,,,,,,,
,empty,gen,lemma,num,num_2,num_last,num_s_p,per,pos,pos_2,suf_gen,suf_num,suf_per,tense,word
0,PRP,1,הוא,0,1,-1,S,3,PRP,-1,-1,-1,-1,-1,היא
1,COP,1,הוא,0,1,-1,S,3,COP,-1,-1,-1,-1,-1,היא
2,DEF,2,ה,1,2,-1,-1,-1,DEF,-1,-1,-1,-1,-1,ה
3,REL,2,ה,1,3,-1,-1,-1,REL,-1,-1,-1,-1,-1,ה
4,NNP,2,הגוף,1,4,-1,S,-1,NNP,-1,-1,-1,-1,-1,הגוף
5,NN,2,הגוף,1,4,-1,S,-1,NN,-1,-1,-1,-1,-1,הגוף
6,NN,2,הגוף,1,4,-1,S,-1,NN,-1,-1,-1,-1,-1,הגוף
7,NNP,2,הגוף,1,4,-1,S,-1,NNP,-1,-1,-1,-1,-1,הגוף
8,NNP,2,הגוף,1,4,-1,-1,-1,NNP,-1,-1,-1,-1,-1,הגוף
9,NNP,2,הגוף,1,4,-1,S,-1,NNP,-1,-1,-1,-1,-1,הגוף
10,NN,2,הגוף,1,4,-1,P,-1,NN,-1,-1,-1,-1,-1,הגוף
11,NN,2,הגוף,1,4,-1,S,-1,NN,-1,-1,-1,-1,-1,הגוף
12,NN,2,הגוף,1,4,-1,P,-1,NN,-1,-1,-1,-1,-1,הגוף
13,NNT,2,גוף,2,4,-1,S,-1,NNT,-1,-1,-1,-1,-1,גוף
14,NN,2,גוף,2,4,-1,S,-1,NN,-1,-1,-1,-1,-1,גוף
15,NNT,2,גוף,3,4,-1,S,-1,NNT,-1,-1,-1,-1,-1,גוף
16,NN,2,גוף,3,4,-1,S,-1,NN,-1,-1,-1,-1,-1,גוף
17,DEF,3,ה,4,5,-1,-1,-1,DEF,-1,-1,-1,-1,-1,ה
18,REL,3,ה,4,6,-1,-1,-1,REL,-1,-1,-1,-1,-1,ה
19,NNP,3,המטפל,4,7,-1,S,-1,NNP,-1,-1,-1,-1,-1,המטפל
20,NN,3,המטפל,4,7,-1,S,-1,NN,-1,-1,-1,-1,-1,המטפל
21,NN,3,המטפל,4,7,-1,S,-1,NN,-1,-1,-1,-1,-1,המטפל
22,NNP,3,המטפל,4,7,-1,S,-1,NNP,-1,-1,-1,-1,-1,המטפל
23,NNP,3,המטפל,4,7,-1,-1,-1,NNP,-1,-1,-1,-1,-1,המטפל
24,NNP,3,המטפל,4,7,-1,S,-1,NNP,-1,-1,-1,-1,-1,המטפל
25,NN,3,המטפל,4,7,-1,P,-1,NN,-1,-1,-1,-1,-1,המטפל
26,NN,3,המטפל,4,7,-1,S,-1,NN,-1,-1,-1,-1,-1,המטפל
27,NN,3,המטפל,4,7,-1,P,-1,NN,-1,-1,-1,-1,-1,המטפל
28,VB,3,טיפל,5,7,-1,S,A,VB,-1,-1,-1,-1,BEINONI,מטפל
29,BN,3,טיפל,5,7,-1,S,A,BN,-1,-1,-1,-1,-1,מטפל
30,NN,3,מטפל,5,7,-1,S,-1,NN,-1,-1,-1,-1,-1,מטפל
31,NNT,3,מטפל,5,7,-1,S,-1,NNT,-1,-1,-1,-1,-1,מטפל
